date,country_territory_area,total_confirmed_cases,total_confirmed_new_cases,total_deaths,total_new_deaths
2020/01/01,Chile,24581,1533,285,4
2020/01/01,Chile,25972,1391,294,9
2020/01/01,Chile,27219,1247,304,10
2020/01/01,China,84406,2,4643,0
2020/01/01,Colombia,7668,383,340,16
2020/01/01,Colombia,7973,305,358,18
2020/01/01,Colombia,8613,640,378,20
2020/01/01,Colombia,8959,346,397,19
2020/01/01,Colombia,9456,497,407,10
2020/01/01,Colombia,10051,595,428,21
2020/01/01,Congo,682,0,34,0
2020/01/01,Congo,236,7,10,0
2020/01/01,Congo,264,28,10,0
2020/01/01,Congo,797,92,35,1
2020/01/01,Congo,897,100,36,1
2020/01/01,Congo,274,10,10,0
2020/01/01,CostaRica,739,6,6,0
2020/01/01,CostaRica,761,6,6,0
2020/01/01,CostaRica,765,4,6,0
2020/01/01,CostaRica,773,8,6,0
2020/01/01,Croatia,2101,5,80,1
2020/01/01,Croatia,2112,11,83,3
2020/01/01,Croatia,2119,7,85,2
2020/01/01,Croatia,2161,36,86,0
2020/01/01,Croatia,2176,15,87,1
2020/01/01,Cuba,1668,19,69,2
2020/01/01,Cuba,1729,26,73,4
2020/01/01,Cuba,1741,12,74,1
2020/01/01,Cuba,1754,13,74,0
2020/01/01,Cyprus,878,4,20,0
2020/01/01,Czechia,7819,38,252,4
2020/01/01,Czechia,7974,78,262,5
2020/01/01,Czechia,8031,57,270,8
2020/01/01,Czechia,8077,46,273,3
2020/01/01,Czechia,8095,18,276,3
2020/01/01,Côted’Ivoire,1432,34,17,0
2020/01/01,Côted’Ivoire,1516,52,18,0
2020/01/01,Côted’Ivoire,1571,55,20,2
2020/01/01,Denmark,10083,100,514,8
2020/01/01,Djibouti,1116,4,2,0
2020/01/01,Djibouti,1120,4,2,0
2020/01/01,Djibouti,1124,4,3,1
2020/01/01,Djibouti,1133,9,3,0
2020/01/01,Djibouti,1135,2,3,0
2020/01/01,Djibouti,1189,54,3,0
2020/01/01,Dominica,16,0,0,0
2020/01/01,Dominica,16,0,0,0
2020/01/01,Dominica,16,0,0,0
2020/01/01,Dominica,16,0,0,0
2020/01/01,DominicanRepublic,8235,281,346,13
2020/01/01,DominicanRepublic,8807,327,362,8
2020/01/01,DominicanRepublic,9095,288,373,11
2020/01/01,DominicanRepublic,9376,281,380,7
2020/01/01,DominicanRepublic,9882,506,385,5
2020/01/01,Ecuador,31881,2343,1569,5
2020/01/01,Ecuador,31881,0,1569,0
2020/01/01,Ecuador,29420,-2461,1618,49
2020/01/01,Ecuador,30298,878,1654,36
2020/01/01,Ecuador,30298,0,1654,0
2020/01/01,Ecuador,28818,-1480,1704,50
2020/01/01,ElSalvador,555,65,12,1
2020/01/01,ElSalvador,695,62,15,1
2020/01/01,ElSalvador,742,47,15,0
2020/01/01,ElSalvador,784,42,16,1
2020/01/01,EquatorialGuinea,315,0,2,0
2020/01/01,EquatorialGuinea,439,0,4,0
2020/01/01,EquatorialGuinea,439,0,4,0
2020/01/01,Estonia,1711,8,55,0
2020/01/01,FaroeIslands,187,0,0,0
2020/01/01,Fiji,18,0,0,0
2020/01/01,Fiji,18,0,0,0
2020/01/01,Fiji,18,0,0,0
2020/01/01,Fiji,18,0,0,0
2020/01/01,Fiji,18,0,0,0
2020/01/01,Finland,5673,100,255,3
2020/01/01,France,130242,534,25165,306
2020/01/01,France,131292,1050,25491,326
2020/01/01,France,135468,4176,25769,278
2020/01/01,France,135980,512,25946,177
2020/01/01,France,136578,598,26188,242
2020/01/01,France,137008,430,26268,80
2020/01/01,FrenchGuiana,133,5,1,0
2020/01/01,FrenchGuiana,138,5,1,0
2020/01/01,FrenchGuiana,141,3,1,0
2020/01/01,FrenchGuiana,141,0,1,0
2020/01/01,FrenchPolynesia,58,0,0,0
2020/01/01,FrenchPolynesia,60,2,0,0
2020/01/01,FrenchPolynesia,60,0,0,0
2020/01/01,FrenchPolynesia,60,0,0,0
2020/01/01,FrenchPolynesia,60,0,0,0
2020/01/01,Gabon,367,32,6,1
2020/01/01,Gabon,397,0,6,0
2020/01/01,Gabon,504,107,8,2
2020/01/01,Georgia,604,11,9,0
2020/01/01,Georgia,610,6,9,0
2020/01/01,Georgia,614,4,9,0
2020/01/01,Georgia,626,3,10,1
2020/01/01,Georgia,635,9,10,0
2020/01/01,Germany,163860,685,6831,139
2020/01/01,Germany,164897,1037,6996,165
2020/01/01,Germany,166091,1194,7119,123
2020/01/01,Germany,167300,1209,7266,147
